ProtID1,ProtID2
Q8N5N7,Q9NQ50
Q9NYK5,Q9NQ50
Q7Z7H8,Q9NRX2
Q9BYD3,Q9BYD1
Q7Z7H8,Q9NQ50
Q9Y6G3,Q96DV4
Q8N5N7,Q96DV4
Q13084,Q7Z7H8
Q7Z7H8,Q9NYK5
Q9HD33,Q16540
Q7Z7H8,Q9P015
Q9Y6G3,Q8IXM3
Q7Z7H8,Q96GC5
Q9BYD3,Q9P0M9
Q9HD33,Q96GC5
Q9Y6G3,Q9P0M9
Q9BYD3,Q86TS9
Q9Y6G3,Q8TCC3
Q7Z7H8,Q96DV4
Q9BYD3,Q96A35
Q9BYD3,Q5T653
Q9HD33,Q9BYC9
Q9NP92,P49406
Q8IXM3,Q8TAE8
Q9NP92,Q16540
Q9Y6G3,Q13405
Q9HD33,Q9BYD2
Q9Y6G3,Q13084
Q9NZE8,Q9BYD3
Q8N5N7,Q9NYK5
Q9Y6G3,Q7Z7F7
Q13084,Q8TAE8
Q8IXM3,Q9P0M9
Q9NVS2,Q9NP92
Q8IXM3,Q9BYC8
Q9BYD3,Q96DV4
Q9BYD3,Q9BYC8
Q7Z7H8,Q8TAE8
Q9NYK5,Q9BYD1
Q7Z7H8,Q96A35
Q8N5N7,Q96A35
Q9NP92,Q9BYD2
Q9NP92,Q9Y3B7
Q9Y6G3,Q96A35
Q7Z7H8,Q9NVS2
Q9BYD3,Q7Z7F7
Q9BYD3,Q9NX20
Q9Y6G3,Q9BYC9
Q9HD33,Q9NRX2
Q9HD33,Q9NX20
Q7Z7H8,O75394
Q8N5N7,Q13405
Q8N5N7,Q9NWU5
Q9NZE8,Q7Z7H8
Q9NP92,Q96EH3
Q9HD33,Q9H0U6
Q9Y6G3,Q9NZE8
Q9BYD3,P09001
Q8IXM3,Q9NQ50
Q9BYD3,Q9NRX2
Q9NYK5,Q96A35
Q9HD33,Q9BQC6
Q9Y6G3,P09001
Q9BYD3,Q14197
Q9HD33,Q96DV4
Q9BYD3,Q9BQC6
Q8N5N7,Q9H9J2
Q9NYK5,Q96DV4
Q9HD33,P09001
Q9HD33,Q14197
Q7Z7H8,Q9NWU5
Q9NP92,Q96GC5
Q8IXM3,Q9BYD1
Q8N5N7,Q9Y3B7
Q9NZE8,Q13084
Q8N5N7,Q96GC5
Q7Z7H8,P49406
Q8N5N7,Q86TS9
Q9Y6G3,Q9NWU5
Q8IXM3,Q4U2R6
Q7Z7H8,Q9H2W6
Q9BYD3,Q9NYK5
Q9NYK5,Q8TCC3
Q9NP92,Q9P015
Q13084,Q96DV4
Q9Y6G3,Q14197
Q8IXM3,Q7Z7F7
Q8N983,Q9NP92
Q8IXM3,Q96EH3
Q9NZE8,Q8TCC3
Q9BQ48,Q9NYK5
Q7Z7H8,Q9BYC9
Q9BYD3,Q8IXM3
Q9BQ48,Q9BYD3
Q9NYK5,Q14197
Q9HD33,O75394
Q9NZE8,Q9NYK5
Q7Z2W9,Q9BYC9
Q9NYK5,Q7Z7F7
Q9BYD3,Q13405
Q13084,Q14197
Q8N5N7,Q9BYC8
Q13084,Q8IXM3
Q8N5N7,Q96EH3
Q9Y6G3,Q9BYC8
Q9Y6G3,Q9BQC6
Q9BYD3,Q9BYC9
Q13084,P09001
Q9BYD3,O75394
Q9HD33,Q96EH3
Q7Z7H8,Q9Y3B7
Q8IXM3,Q13405
Q8IXM3,Q14197
Q9HD33,Q8N983
Q9BZE1,Q9HD33
Q9BYD3,Q96EH3
Q8N5N7,Q9BQC6
Q9NYK5,Q9NRX2
Q9NP92,Q9H0U6
Q9BYD3,Q9H2W6
Q8N5N7,Q9H2W6
Q8IXM3,Q9H2W6
Q9NYK5,Q9BYC8
Q13084,Q9P0M9
Q9NYK5,Q5T653
Q7Z7H8,Q8IXM3
Q8N5N7,Q9BYC9
Q13084,Q9P015
Q9NYK5,Q9NWU5
Q9NYK5,Q8IXM3
Q9NYK5,Q13405
Q9Y6G3,Q5T653
Q9NYK5,Q4U2R6
Q9Y6G3,Q9H9J2
Q9BYD3,Q96EL3
Q7Z7H8,Q96EH3
Q8IXM3,P09001
Q9Y6G3,Q96EH3
Q9NYK5,Q9P0M9
Q8IXM3,Q9BYC9
Q8N5N7,Q8N983
Q8N5N7,P09001
Q9BYD3,Q9NWU5
Q9Y6G3,Q9NRX2
Q9BYD3,Q9Y3B7
Q8IXM3,Q96GC5
Q9NYK5,Q9BYC9
Q8IXM3,Q9Y3B7
Q8IXM3,Q9NX20
Q9BYD3,Q9P015
Q9NYK5,P09001
Q9NYK5,Q9BQC6
Q9NYK5,Q9P015
Q7Z7H8,Q8N983
Q9Y6G3,O75394
Q9NVS2,Q9NYK5
Q13084,Q5T653
Q9NYK5,Q9NX20
Q96DV4,Q8IXM3
Q9BQ48,Q13084
Q9NZE8,Q9BYD1
Q8N5N7,Q9P015
Q8N5N7,O75394
Q9NP92,Q96EL3
Q9BYD3,Q9H9J2
Q9NYK5,Q96GC5
Q13084,Q9NQ50
Q9BYD3,Q96GC5
Q7Z7H8,Q9BQC6
Q7Z7H8,Q9H0U6
Q8N5N7,P49406
Q9BZE1,Q96EH3
Q9NZE8,Q96DV4
Q7Z7H8,Q9BYD2
Q9BZE1,Q9BYD1
Q8IXM3,Q96A35
Q13084,Q9BYC8
Q8N5N7,Q9BZE1
Q9NYK5,P49406
Q9Y6G3,Q9NX20
Q8IXM3,Q9P015
Q9BYD3,Q9BYD2
Q8IXM3,Q9H9J2
Q13084,Q96A35
Q9Y6G3,Q9NVS2
Q13084,Q96EH3
Q8N5N7,Q9BYD2
Q9NZE8,Q8IXM3
Q9Y6G3,Q9P015
Q8N5N7,Q8IXM3
Q8IXM3,Q9BQC6
Q9NYK5,Q9H9J2
Q7Z2W9,Q9BYD3
Q8IXM3,Q9BYD2
Q13084,Q7Z7F7
Q9NVS2,Q8IXM3
Q13084,Q9NX20
Q9NYK5,Q96EH3
Q7Z7H8,Q96EL3
Q8IXM3,Q9NWU5
Q9NYK5,Q9H2W6
Q9NZE8,Q9NQ50
Q9NZE8,Q9P0M9
Q9Y6G3,P49406
Q13084,P49406
Q96DV4,Q9H0U6
Q8IXM3,Q9BQ48
Q9NZE8,Q96EH3
Q8N983,Q9H9J2
Q9NZE8,Q9P015
Q13084,Q9BQC6
Q9BZE1,Q7Z7F7
Q9NZE8,Q9BQ48
Q7Z2W9,Q7Z7H8
Q9BZE1,Q9NQ50
Q7Z7H8,Q6P1L8
Q9NYK5,Q9Y3B7
Q9Y6G3,Q96GC5
